descripcion,horas
Backend Arreglo Media Corrección de errores al intentar parsear números desde una petición de texto,7
Backend Documentación Media Redacción de un documento técnico sobre los tipos de datos usados en la API,8
Backend Desarrollo Alta Desarrollo de un sistema de niveles de log para registrar avisos y errores en la consola,15
Backend Testing Baja Verificación manual de que la API responde correctamente ante datos de entrada vacíos,6
Backend Desarrollo Media Creación de un servicio que simule el envío de un correo electrónico imprimiendo en consola,9
Backend Arreglo Baja Reparación de un error que impedía ver los cambios en el código sin reiniciar el servidor,4
Backend Investigación Media Estudio sobre qué son las excepciones y cómo capturarlas con try-catch en Java,8
Backend Desarrollo Alta Implementación de un manejador global de errores para devolver mensajes personalizados,20
Backend Refactorización Baja Mejora de la legibilidad del código separando métodos largos en otros más pequeños,7
Backend Desarrollo Media Creación de un endpoint para importar una lista de tareas desde un archivo de texto,14
Backend Arreglo Media Solución de problemas de codificación de caracteres (UTF-8) en las respuestas de la API,5
Backend Documentación Baja Creación de un archivo README detallando las tecnologías y versiones usadas,4
Backend Desarrollo Alta Desarrollo de un sistema de gestión de sesiones basado en un identificador simple,25
Backend Testing Media Realización de pruebas para asegurar que los campos obligatorios devuelven un error 400,10
Backend Desarrollo Media Implementación de una lógica de ordenación de listas por diferentes criterios,12
Backend Arreglo Baja Reparación de un bug que permitía crear elementos con valores negativos ilegales,6
Backend Investigación Media Investigación sobre cómo securizar una API mediante el uso de una API Key simple,10
Backend Desarrollo Alta Creación de un sistema de permisos rudimentario basado en un parámetro de la petición,22
Backend Refactorización Media Reorganización de los paquetes del proyecto para seguir el estándar del equipo,8
Backend Desarrollo Media Implementación de un endpoint que devuelva estadísticas básicas de los datos en memoria,11
Backend Arreglo Media Solución de errores de "500 Internal Server Error" debidos a punteros nulos,9
Backend Desarrollo Baja Creación de un servicio de configuración que lea valores desde un archivo externo,7
Backend Testing Alta Creación de un plan de pruebas completo para el módulo de gestión de usuarios,18
Backend Desarrollo Media Desarrollo de un sistema de paginación manual para listas con muchos elementos,13
Backend Arreglo Baja Corrección de mensajes de error que contenían información sensible del servidor,5
Backend Investigación Alta Estudio de la diferencia entre autenticación y autorización en sistemas web,12
Backend Desarrollo Media Creación de un simulador de pasarela de pagos que devuelva éxito o error aleatorio,10
Backend Refactorización Baja Actualización de las dependencias del proyecto a las versiones recomendadas,4
Backend Desarrollo Alta Implementación de un sistema de carga de archivos de texto y procesamiento de su contenido,28
Backend Arreglo Media Resolución de problemas de lentitud en el arranque de la aplicación por configuraciones pesadas,12
Backend Documentación Media Elaboración de una guía de uso de la API para que la entienda el equipo de Frontend,14
Backend Desarrollo Baja Creación de un endpoint para limpiar o resetear los datos de prueba en memoria,5
Backend Testing Media Verificación de que la API soporta peticiones concurrentes básicas de varios usuarios,10
Backend Desarrollo Media Desarrollo de un servicio que calcule el tiempo de ejecución de cada petición,8
Backend Arreglo Baja Corrección de la estructura de los objetos JSON devueltos para que coincidan con el diseño,4
Backend Investigación Media Búsqueda de librerías para realizar validaciones de formato de email y teléfono,6
Backend Desarrollo Alta Implementación de un sistema de histórico que guarde los cambios realizados en los datos,24
Backend Refactorización Media Mejora de la arquitectura eliminando el acoplamiento entre clases mediante interfaces,14
Backend Desarrollo Media Creación de un endpoint para descargar la lista de elementos en formato CSV,12
Backend Arreglo Media Solución de conflictos al usar diferentes versiones de librerías en el mismo proyecto,7
Backend Desarrollo Baja Implementación de un sistema de salud (Health Check) que indique si la API está lista,3
Backend Testing Baja Comprobación manual de que la API funciona correctamente en un entorno de red local,5
Backend Desarrollo Alta Desarrollo de un motor de búsqueda que permita usar operadores básicos como Y y O,30
Backend Arreglo Alta Reparación de fallos críticos donde la aplicación se caía al recibir datos mal formados,18
Backend Documentación Baja Comentarios de código siguiendo el estándar Javadoc para la generación de manuales,6
Backend Investigación Baja Aprendizaje sobre el uso del depurador (Debugger) del IDE para seguir el código,5
Backend Desarrollo Media Implementación de un límite de intentos para peticiones fallidas a un endpoint,10
Backend Refactorización Alta Rediseño de la lógica de negocio para permitir la extensión a nuevos tipos de datos,20
Backend Desarrollo Baja Creación de un modelo de datos para almacenar la configuración de perfil del usuario,6
Backend Arreglo Media Corrección de errores al intentar acceder a recursos compartidos desde varios hilos,12
Backend Desarrollo Alta Integración con una API de terceros para obtener datos de códigos postales,22
Backend Testing Media Realización de pruebas de integración entre el controlador y la capa de servicio,10
Backend Desarrollo Media Implementación de una caché simple en memoria para los resultados de búsqueda,9
Backend Arreglo Baja Solución de errores en las rutas de los archivos de recursos del servidor,4
Backend Documentación Alta Redacción técnica sobre cómo se gestiona la seguridad y los tokens en el sistema,15
Backend Desarrollo Media Desarrollo de un servicio de notificaciones internas por consola con diferentes prioridades,11
Backend Refactorización Baja Simplificación de métodos que contienen demasiada lógica condicional anidada,8
Backend Desarrollo Baja Creación de un endpoint para obtener información sobre la licencia de la app,3
Backend Arreglo Media Solución de errores en los que la aplicación consumía demasiada memoria RAM,15
Backend Investigación Media Estudio sobre el impacto de la serialización en el rendimiento de la API,8
Backend Desarrollo Alta Implementación de un sistema de autenticación básica mediante cabeceras HTTP,25
Backend Testing Baja Verificación de que los logs de error se escriben correctamente en un archivo local,5
Backend Desarrollo Media Creación de un sistema de etiquetas para categorizar los registros de la base de datos,10
Backend Arreglo Baja Corrección de un problema de redondeo en los cálculos matemáticos del backend,4
Backend Refactorización Media Cambio de la gestión de errores manual por el uso de anotaciones especializadas,9
Backend Investigación Media Estudio de los fundamentos de SQL y diferencias entre bases de datos relacionales y NoSQL,8
Backend Desarrollo Baja Configuración de la conexión a una base de datos MySQL local mediante el archivo de propiedades,6
Backend Desarrollo Media Creación de las primeras tablas de la base de datos usando scripts SQL manuales,10
Backend Investigación Alta Aprendizaje sobre el mapeo objeto-relacional (ORM) con Hibernate o JPA,15
Backend Desarrollo Media Creación de entidades JPA con relaciones Uno a Muchos entre clientes y pedidos,14
Backend Arreglo Baja Solución de errores de conexión por credenciales incorrectas en el acceso a la BD,3
Backend Desarrollo Alta Implementación de un repositorio CRUD completo que persista datos en base de datos real,25
Backend Investigación Media Lectura sobre el uso de BCrypt para el cifrado seguro de contraseñas de usuario,7
Backend Desarrollo Media Desarrollo de una lógica de login que verifique la contraseña cifrada en la base de datos,12
Backend Documentación Baja Creación de un diccionario de datos explicando cada columna de las tablas de la BD,8
Backend Desarrollo Baja Creación de un endpoint para verificar si el servidor tiene conexión activa con la base de datos,4
Backend Arreglo Media Reparación de errores de persistencia debidos a nombres de columnas mal mapeados en Java,8
Backend Desarrollo Alta Implementación de un sistema de registro que valide que el email no existe antes de insertar,18
Backend Investigación Alta Estudio de qué es un JWT (JSON Web Token) y cómo se usa para mantener sesiones,12
Backend Arreglo Baja Corrección de errores de tipo de dato al insertar fechas en la base de datos,5
Backend Desarrollo Media Creación de consultas personalizadas usando JPQL para filtrar productos por precio,11
Backend Refactorización Media Sustitución de sentencias SQL nativas por el uso de métodos del repositorio JPA,10
Backend Desarrollo Alta Implementación de un sistema de roles para que solo el administrador pueda borrar datos,22
Backend Testing Media Realización de pruebas para asegurar que los datos no se pierden al reiniciar el servidor,8
Backend Documentación Media Elaboración de un diagrama Entidad-Relación actualizado con las nuevas tablas,10
Backend Desarrollo Media Creación de un endpoint para actualizar parcialmente los datos de un perfil de usuario,12
Backend Arreglo Baja Solución de problemas de codificación al guardar nombres con tildes en la base de datos,4
Backend Desarrollo Alta Desarrollo de una lógica para generar y devolver un token de sesión tras un login exitoso,28
Backend Investigación Media Búsqueda de información sobre cómo evitar ataques de inyección SQL en el código,6
Backend Arreglo Media Resolución de errores de clave foránea al intentar borrar registros con dependencias,10
Backend Desarrollo Baja Creación de un servicio para exportar los logs de errores de la base de datos a texto,7
Backend Refactorización Baja Normalización de nombres de tablas para seguir el estándar snake_case en la BD,5
Backend Desarrollo Alta Implementación de un sistema de recuperación de contraseña mediante un token temporal,24
Backend Arreglo Alta Reparación de un fallo que permitía acceder a rutas privadas sin estar autenticado,16
Backend Documentación Baja Comentarios técnicos sobre la configuración de seguridad del proyecto,6
Backend Desarrollo Media Creación de una consulta compleja que una datos de tres tablas diferentes para un reporte,15
Backend Investigación Baja Aprendizaje sobre el uso de herramientas como DBeaver o Workbench para ver la BD,4
Backend Desarrollo Media Implementación de una lógica de "borrado lógico" (is_deleted) en lugar de borrado físico,10
Backend Refactorización Media Mejora del rendimiento añadiendo índices a las columnas más consultadas de la BD,12
Backend Desarrollo Baja Creación de un endpoint para obtener el número total de registros en cada tabla,5
Backend Arreglo Media Corrección de errores de duplicidad de datos por falta de restricciones Unique en la BD,7
Backend Documentación Media Redacción de una guía de cómo realizar copias de seguridad de la base de datos local,6
Backend Desarrollo Alta Desarrollo de un sistema de auditoría que registre qué usuario modificó cada registro,20
Backend Testing Baja Verificación manual de que los filtros de búsqueda devuelven los resultados esperados,7
Backend Desarrollo Media Implementación de una tarea programada que limpie tokens caducados de la base de datos,14
Backend Arreglo Baja Solución de errores al intentar insertar valores nulos en columnas obligatorias,4
Backend Investigación Media Estudio sobre el uso de migraciones de base de datos con herramientas como Flyway,10
Backend Desarrollo Alta Integración de un sistema de validación de tokens en cada petición a la API,30
Backend Refactorización Baja Simplificación de las clases de configuración de seguridad para mejorar la claridad,8
Backend Desarrollo Media Creación de un servicio para cambiar la contraseña del usuario previa validación,10
Backend Arreglo Media Reparación de un bug que impedía el cierre correcto de las conexiones a la base de datos,12
Backend Documentación Baja Creación del archivo de exportación del esquema de la base de datos (SQL dump),4
Backend Desarrollo Alta Desarrollo de un sistema de permisos basado en niveles (básico intermedio avanzado),24
Backend Testing Media Pruebas de integración para verificar el flujo completo desde el login hasta la consulta,14
Backend Desarrollo Media Implementación de una caché de resultados para las consultas SQL más frecuentes,12
Backend Arreglo Baja Corrección del formato de los mensajes de error devueltos cuando falla la BD,5
Backend Investigación Media Investigación sobre cómo manejar transacciones para asegurar la integridad de los datos,9
Backend Desarrollo Alta Implementación de una lógica de carrito de compra que se guarde en la base de datos,28
Backend Refactorización Media Reestructuración de la base de datos para separar los datos de login de los perfiles,14
Backend Desarrollo Media Creación de un endpoint para activar o desactivar usuarios desde el panel de gestión,8
Backend Arreglo Media Solución de problemas de lentitud al realizar búsquedas por texto en tablas grandes,11
Backend Desarrollo Baja Creación de un modelo para almacenar las preferencias de idioma de cada usuario en BD,6
Backend Testing Alta Creación de un script de pruebas para insertar 1000 registros de prueba de una vez,12
Backend Desarrollo Media Desarrollo de un sistema de mensajes de error dinámicos guardados en la base de datos,10
Backend Arreglo Baja Corrección de un problema de zona horaria al guardar fechas en el servidor,6
Backend Investigación Alta Estudio de alternativas a la base de datos actual y costes de migración,15
Backend Desarrollo Media Creación de un panel de resumen con los ingresos totales calculados desde la BD,12
Backend Refactorización Baja Organización de las clases de excepciones personalizadas en un paquete dedicado,5
Backend Desarrollo Alta Implementación de una pasarela de pago simulada que actualice el estado del pedido en BD,30
Backend Arreglo Media Solución de errores en los que la aplicación se bloqueaba por demasiadas conexiones abiertas,15
Backend Documentación Media Elaboración de un manual sobre la política de seguridad y gestión de usuarios,12
Backend Desarrollo Baja Creación de un endpoint para obtener la lista de provincias desde una tabla estática,4
Backend Testing Media Comprobación de que la API responde correctamente ante intentos de inyección SQL,10
Backend Desarrollo Media Desarrollo de un buscador que permita filtrar por rango de fechas de creación,9
Backend Arreglo Baja Corrección de errores tipográficos en los nombres de los parámetros de consulta,3
Backend Investigación Media Investigación sobre el uso de librerías como Lombok para reducir el código repetitivo,6
Backend Desarrollo Alta Creación de un sistema de invitaciones por código que se validan contra la base de datos,24
Backend Refactorización Media Optimización de la carga de objetos relacionados usando FetchType de Hibernate,12
Backend Desarrollo Media Implementación de un contador de intentos de login fallidos por cada usuario,10
Backend Arreglo Media Resolución de conflictos cuando dos usuarios intentan actualizar el mismo registro a la vez,14
Backend Desarrollo Baja Creación de un endpoint que devuelva la versión de la base de datos y su estado,4
Backend Testing Baja Verificación de que los tokens de sesión caducan correctamente tras el tiempo fijado,6
Backend Desarrollo Alta Desarrollo de un servicio de generación de facturas que consulte datos de varias tablas,26
Backend Arreglo Alta Solución de un fallo crítico que permitía ver datos de otros usuarios cambiando el ID,20
Backend Documentación Baja Comentarios de Javadoc detallando el funcionamiento de los métodos del repositorio,5
Backend Investigación Baja Aprendizaje sobre el uso de logs de nivel Debug para rastrear consultas SQL,6
Backend Desarrollo Media Implementación de una lógica para subir y asociar documentos PDF a un usuario en la BD,16
Backend Refactorización Alta Migración de la lógica de seguridad manual a un framework como Spring Security,25
Backend Desarrollo Baja Creación de un modelo para guardar el historial de conexiones de los usuarios,5
Backend Arreglo Media Corrección de errores en la paginación cuando el número de elementos es muy pequeño,6
Backend Desarrollo Alta Integración de una API externa para validar direcciones postales antes de guardarlas,22
Backend Testing Media Realización de pruebas unitarias sobre los métodos de cálculo de la capa de servicio,10
Backend Desarrollo Media Implementación de un sistema de categorías jerárquicas (padres e hijos) en la BD,14
Backend Arreglo Baja Reparación de un bug que impedía registrar usuarios con correos muy largos,4
Backend Documentación Alta Redacción de un informe sobre el rendimiento de la base de datos bajo carga,12
Backend Desarrollo Media Desarrollo de un servicio para calcular la antigüedad de los usuarios en el sistema,7
Backend Refactorización Baja Mejora de la legibilidad de las consultas SQL complejas usando saltos de línea,4
Backend Desarrollo Baja Creación de un endpoint para descargar la base de datos actual en formato JSON,8
Backend Arreglo Media Solución de errores al procesar caracteres especiales en las búsquedas del backend,7
Backend Investigación Media Estudio sobre el impacto de usar UUID en lugar de IDs incrementales en la BD,8
Backend Desarrollo Alta Implementación de un sistema de mensajería interna que guarde los chats en la base de datos,30
Backend Testing Baja Verificación de que la base de datos se crea correctamente desde cero con los scripts,6
Backend Desarrollo Media Creación de un sistema de etiquetas (tags) vinculadas a los productos mediante BD,10
Backend Arreglo Baja Corrección de un problema de redondeo en los totales almacenados en la base de datos,4
Backend Refactorización Media Cambio del sistema de almacenamiento de archivos de local a una ruta configurable,11
Backend Desarrollo Baja Creación de un endpoint Hello World usando Python y el framework Flask,5
Backend Desarrollo Baja Configuración de un entorno virtual de Python y gestión de dependencias con pip,4
Backend Desarrollo Media Implementación de una API REST básica para la gestión de alumnos con Flask,12
Backend Investigación Media Estudio de las diferencias entre los decoradores de Spring Boot y Flask,6
Backend Desarrollo Media Creación de un servicio en Python para el procesamiento de archivos JSON,9
Backend Arreglo Baja Corrección de errores de tabulación y sintaxis en scripts de servidor en Python,3
Backend Desarrollo Alta Desarrollo de un sistema de autenticación simple usando Flask-Login,22
Backend Investigación Baja Búsqueda de documentación sobre cómo conectar Flask con una base de datos SQL,5
Backend Desarrollo Media Implementación de validaciones de formularios en el backend usando Python,10
Backend Documentación Baja Redacción de una guía de instalación para proyectos basados en Python,5
Backend Desarrollo Baja Creación de un endpoint en Spring Boot para consultar el stock de un almacén,6
Backend Desarrollo Baja Creación de un endpoint en Spring Boot para consultar el stock de una tienda,6
Backend Desarrollo Media Implementación de un servicio de envío de correos electrónicos para facturación,12
Backend Desarrollo Media Implementación de un servicio de envío de correos electrónicos para soporte,12
Backend Arreglo Media Solución de problemas de conexión entre el servidor Python y la base de datos,8
Backend Arreglo Media Solución de problemas de conexión entre el servidor Java y la base de datos,8
Backend Desarrollo Alta Creación de un sistema de subida de archivos PDF con validación de tamaño,20
Backend Desarrollo Alta Creación de un sistema de subida de imágenes con validación de formato,20
Backend Investigación Media Estudio del uso de variables de entorno para ocultar claves de la API,6
Backend Documentación Media Elaboración de un manual sobre la estructura de la base de datos de alumnos,8
Backend Desarrollo Media Desarrollo de un endpoint para filtrar pedidos por estado (pendiente o enviado),10
Backend Desarrollo Media Desarrollo de un endpoint para filtrar facturas por estado (pagada o pendiente),10
Backend Arreglo Baja Corrección de un error en el mensaje de respuesta al borrar un usuario,3
Backend Arreglo Baja Corrección de un error en el mensaje de respuesta al borrar un producto,3
Backend Desarrollo Alta Implementación de un sistema de roles para distinguir entre profesor y alumno,24
Backend Desarrollo Alta Implementación de un sistema de roles para distinguir entre editor y lector,24
Backend Investigación Alta Investigación sobre el uso de SQLAlchemy para el mapeo de datos en Python,12
Backend Refactorización Baja Cambio de nombres de rutas para que sigan el estándar RESTful,4
Backend Desarrollo Media Creación de un generador de informes en texto plano para auditoría,8
Backend Desarrollo Media Creación de un generador de informes en texto plano para ventas diarias,8
Backend Arreglo Media Reparación de errores al procesar fechas en formato ISO desde el frontend,7
Backend Arreglo Media Reparación de errores al procesar fechas en formato local desde el frontend,7
Backend Desarrollo Baja Implementación de un log que registre cada vez que se accede a un recurso,5
Backend Desarrollo Baja Implementación de un log que registre cada vez que ocurre un error 404,5
Backend Testing Media Realización de pruebas manuales para verificar el límite de caracteres en el registro,6
Backend Testing Media Realización de pruebas manuales para verificar el formato del email en el registro,6
Backend Desarrollo Alta Desarrollo de una lógica para aplicar descuentos por pronto pago en facturas,18
Backend Desarrollo Alta Desarrollo de una lógica para aplicar descuentos por fidelidad en pedidos,18
Backend Refactorización Media Optimización de la lógica de búsqueda para reducir el consumo de memoria,10
Backend Refactorización Media Optimización de la lógica de filtrado para reducir el consumo de memoria,10
Backend Arreglo Baja Solución de un bug que impedía actualizar el teléfono de contacto del perfil,4
Backend Arreglo Baja Solución de un bug que impedía actualizar la dirección de envío del perfil,4
Backend Investigación Media Estudio de cómo implementar un sistema de recuperación de cuenta por SMS,10
Backend Desarrollo Media Creación de un servicio para la exportación de datos de usuarios a Excel,14
Backend Desarrollo Media Creación de un servicio para la exportación de datos de ventas a Excel,14
Backend Documentación Baja Comentarios en el código sobre el funcionamiento del cifrado de datos,6
Backend Desarrollo Baja Creación de un endpoint para obtener la lista de países disponibles,4
Backend Desarrollo Baja Creación de un endpoint para obtener la lista de ciudades disponibles,4
Backend Arreglo Media Corrección de un error de lógica que duplicaba los registros al hacer doble clic,12
Backend Arreglo Media Corrección de un error de lógica que borraba registros incorrectos al usar el ID,12
Backend Investigación Alta Análisis de seguridad para proteger el servidor contra ataques de fuerza bruta,15
Backend Desarrollo Alta Implementación de un bloqueo temporal tras tres intentos de login fallidos,20
Backend Desarrollo Alta Implementación de un bloqueo temporal tras cinco intentos de login fallidos,18
Backend Refactorización Baja Limpieza de importaciones no utilizadas en el código del servidor Java,3
Backend Refactorización Baja Limpieza de importaciones no utilizadas en el código del servidor Python,3
Backend Desarrollo Media Creación de un servicio de envío de notificaciones internas por consola,8
Backend Desarrollo Media Creación de un servicio de envío de notificaciones internas por log,8
Backend Arreglo Baja Reparación de una ruta mal escrita en el controlador de productos,2
Backend Arreglo Baja Reparación de una ruta mal escrita en el controlador de usuarios,2
Backend Investigación Media Búsqueda de librerías para manejar archivos ZIP en el backend,6
Backend Desarrollo Alta Desarrollo de un motor de reglas para validar la complejidad de las contraseñas,15
Backend Desarrollo Alta Desarrollo de un motor de reglas para validar la integridad de los documentos,15
Backend Refactorización Media Sustitución de listas simples por mapas para mejorar la velocidad de búsqueda,8
Backend Refactorización Media Sustitución de listas simples por sets para evitar elementos duplicados,8
Backend Desarrollo Baja Implementación de un endpoint para saludar al usuario por su nombre,3
Backend Desarrollo Baja Implementación de un endpoint para despedir al usuario por su nombre,3
Backend Testing Media Verificación de que los errores de la base de datos no se muestran al usuario,7
Backend Testing Media Verificación de que los errores del servidor no se muestran al usuario,7
Backend Desarrollo Media Creación de un contador de descargas para cada archivo del sistema,9
Backend Desarrollo Media Creación de un contador de visualizaciones para cada página del sistema,9
Backend Arreglo Media Solución de errores de timeout al realizar peticiones a servicios externos,10
Backend Arreglo Media Solución de errores de timeout al realizar consultas pesadas en la base de datos,10
Backend Documentación Media Redacción de la guía para configurar el acceso a la base de datos en staging,7
Backend Investigación Baja Lectura sobre el uso de Git para el trabajo colaborativo en el backend,4
Backend Desarrollo Alta Implementación de un sistema de invitaciones por correo electrónico,22
Backend Desarrollo Alta Implementación de un sistema de invitaciones por enlace temporal,22
Backend Refactorización Media Mejora de la estructura de las respuestas JSON para que sean uniformes,8
Backend Refactorización Media Mejora de la estructura de los errores JSON para que sean uniformes,8
Backend Desarrollo Baja Creación de una tarea que genere un informe de errores cada 24 horas,10
Backend Desarrollo Baja Creación de una tarea que genere un informe de ventas cada 24 horas,10
Backend Arreglo Baja Reparación de un error ortográfico en los encabezados de la respuesta API,2
Backend Arreglo Baja Reparación de un error ortográfico en los cuerpos de la respuesta API,2
Backend Investigación Media Estudio de cómo limitar el número de peticiones por minuto (Rate Limiting),12
Backend Desarrollo Media Implementación de una restricción de acceso por dirección IP del cliente,14
Backend Desarrollo Media Implementación de una restricción de acceso por rango horario del cliente,14
Backend Arreglo Media Corrección de un fallo al cerrar la conexión con el servicio de correo,6
Backend Arreglo Media Corrección de un fallo al cerrar la conexión con el servicio de logs,6
Backend Documentación Alta Informe técnico sobre la escalabilidad del backend propuesto,15
Backend Desarrollo Alta Desarrollo de una función para calcular el balance de ingresos y gastos,20
Backend Desarrollo Alta Desarrollo de una función para calcular el balance de stock e inventario,20
Backend Refactorización Baja Organización de las constantes del proyecto en un archivo independiente,4
Backend Refactorización Baja Organización de las configuraciones del proyecto en un archivo independiente,4
Backend Desarrollo Media Creación de un endpoint para obtener el perfil del usuario autenticado,7
Backend Desarrollo Media Creación de un endpoint para obtener los ajustes del usuario autenticado,7
Backend Arreglo Media Solución de problemas al subir archivos con espacios en el nombre,8
Backend Arreglo Media Solución de problemas al subir archivos con caracteres especiales en el nombre,8
Backend Investigación Media Búsqueda de alternativas a la librería de cifrado actual por ser obsoleta,7
Backend Desarrollo Alta Implementación de un sistema de registro de actividad para administradores,24
Backend Desarrollo Alta Implementación de un sistema de registro de actividad para usuarios VIP,24
Backend Refactorización Media Simplificación de las funciones de cálculo de impuestos para facilitar el mantenimiento,10
Backend Desarrollo Media Creación de un endpoint para la subida de avatares de usuario en formato PNG,12
Backend Desarrollo Media Creación de un endpoint para la subida de avatares de usuario en formato JPG,14
Backend Arreglo Baja Corrección de error de validación en el campo código postal del registro,4
Backend Arreglo Baja Corrección de error de validación en el campo número de teléfono del registro,5
Backend Desarrollo Alta Implementación de un sistema de recuperación de contraseña por email (SMTP),20
Backend Desarrollo Alta Implementación de un sistema de recuperación de contraseña por email (SendGrid),22
Backend Investigación Media Estudio de la documentación oficial sobre el manejo de CORS en Spring Boot,6
Backend Investigación Media Estudio de la documentación oficial sobre el manejo de CORS en Flask,7
Backend Desarrollo Baja Creación de un endpoint que devuelva el estado de salud de la base de datos,4
Backend Desarrollo Baja Creación de un endpoint que devuelva el estado de salud del servidor,3
Backend Refactorización Media Optimización de la consulta de obtención de perfil de usuario en SQL,9
Backend Refactorización Media Optimización de la consulta de obtención de ajustes de usuario en SQL,10
Backend Desarrollo Media Desarrollo de un servicio para la generación de facturas en formato PDF,15
Backend Desarrollo Media Desarrollo de un servicio para la generación de presupuestos en formato PDF,16
Backend Arreglo Media Reparación de un bug que permitía introducir stock negativo en productos,8
Backend Arreglo Media Reparación de un bug que permitía introducir precios negativos en servicios,7
Backend Desarrollo Alta Integración de seguridad JWT para proteger las rutas de administración,25
Backend Desarrollo Alta Integración de seguridad JWT para proteger las rutas de usuario VIP,24
Backend Documentación Baja Redacción del manual de instalación de dependencias con Maven,5
Backend Documentación Baja Redacción del manual de instalación de dependencias con Pip,4
Backend Desarrollo Media Implementación de una lógica para el filtrado de pedidos por fecha,10
Backend Desarrollo Media Implementación de una lógica para el filtrado de pedidos por cliente,11
Backend Arreglo Baja Solución de un error de tipado al recibir el ID del usuario como String,3
Backend Arreglo Baja Solución de un error de tipado al recibir el ID del producto como String,2
Backend Desarrollo Alta Desarrollo de un sistema de logs que guarde la actividad en un archivo .log,14
Backend Desarrollo Alta Desarrollo de un sistema de logs que guarde la actividad en la base de datos,18
Backend Investigación Alta Investigación sobre el cifrado de datos sensibles en reposo (AES),15
Backend Investigación Alta Investigación sobre el cifrado de comunicaciones mediante TLS/SSL,12
Backend Refactorización Baja Limpieza de comentarios innecesarios y código muerto en el servicio de usuarios,4
Backend Refactorización Baja Limpieza de comentarios innecesarios y código muerto en el servicio de productos,3
Backend Desarrollo Media Creación de un endpoint para exportar el inventario a un archivo Excel,13
Backend Desarrollo Media Creación de un endpoint para exportar las ventas a un archivo Excel,15
Backend Arreglo Media Resolución de conflictos de concurrencia al actualizar el carrito de compra,12
Backend Arreglo Media Resolución de conflictos de concurrencia al actualizar el perfil de usuario,10
Backend Desarrollo Baja Configuración de un interceptor para añadir logs de tiempo a cada petición,6
Backend Desarrollo Baja Configuración de un interceptor para validar el idioma de la petición,5
Backend Testing Media Comprobación manual de que los tokens de seguridad caducan a los 30 minutos,8
Backend Testing Media Comprobación manual de que los tokens de seguridad caducan a los 60 minutos,9
Backend Desarrollo Alta Implementación de un sistema de roles con jerarquía (Admin Editor Usuario),22
Backend Desarrollo Alta Implementación de un sistema de roles con jerarquía (Superuser Manager Staff),24
Backend Arreglo Baja Corrección de un problema de formato en la respuesta JSON de errores,3
Backend Arreglo Baja Corrección de un problema de formato en la respuesta JSON de éxito,2
Backend Investigación Media Búsqueda de librerías para la compresión de archivos en el servidor,7
Backend Investigación Media Búsqueda de librerías para la generación de códigos de barras,6
Backend Desarrollo Media Creación de un servicio para calcular estadísticas de uso semanales,12
Backend Desarrollo Media Creación de un servicio para calcular estadísticas de uso mensuales,15
Backend Refactorización Alta Migración de la lógica de acceso a datos de JDBC a Hibernate,20
Backend Refactorización Alta Migración de la lógica de acceso a datos de SQL nativo a SQLAlchemy,18
Backend Desarrollo Baja Creación de un modelo para almacenar las notificaciones leídas,5
Backend Desarrollo Baja Creación de un modelo para almacenar las notificaciones pendientes,6
Backend Arreglo Media Solución de errores de desbordamiento de memoria al procesar archivos grandes,14
Backend Arreglo Media Solución de errores de desbordamiento de memoria al generar reportes grandes,16
Backend Documentación Media Elaboración de la guía de estilos para la escritura de código en el backend,8
Backend Documentación Media Elaboración de la guía de estilos para el diseño de la API REST,7
Backend Desarrollo Alta Desarrollo de una pasarela de pago simulada con respuesta de éxito/error,20
Backend Desarrollo Alta Desarrollo de una pasarela de pago simulada con validación de tarjeta,22
Backend Testing Baja Verificación de que el servidor responde 404 cuando la ruta no existe,2
Backend Testing Baja Verificación de que el servidor responde 401 cuando no hay token,3
Backend Desarrollo Media Implementación de una caché en memoria para los nombres de categorías,8
Backend Desarrollo Media Implementación de una caché en memoria para los nombres de países,7
Backend Arreglo Baja Reparación de un error ortográfico en el mensaje de bienvenida de la API,2
Backend Arreglo Baja Reparación de un error ortográfico en el mensaje de despedida de la API,2
Backend Investigación Alta Análisis de vulnerabilidades conocidas en las dependencias del proyecto,10
Backend Investigación Alta Análisis de vulnerabilidades conocidas en la configuración del servidor web,12
Backend Desarrollo Media Creación de una tarea programada para enviar recordatorios de tareas pendientes,14
Backend Desarrollo Media Creación de una tarea programada para enviar recordatorios de facturas impagadas,16
Backend Refactorización Baja Reorganización de las variables de configuración en un archivo único,4
Backend Refactorización Baja Reorganización de las rutas de la API en archivos separados por módulos,6
Backend Desarrollo Alta Implementación de un buscador que soporte caracteres especiales y tildes,15
Backend Desarrollo Alta Implementación de un buscador que soporte términos con espacios,13
Backend Arreglo Media Corrección de un fallo que impedía borrar imágenes del almacenamiento local,9
Backend Arreglo Media Corrección de un fallo que impedía borrar archivos temporales del servidor,8
Backend Documentación Baja Creación del esquema de la base de datos en formato imagen (ERD),5
Backend Documentación Baja Creación del esquema de la base de datos en formato SQL,4
Backend Desarrollo Media Creación de un endpoint para cambiar la contraseña actual del usuario,9
Backend Desarrollo Media Creación de un endpoint para cambiar el email actual del usuario,10
Backend Testing Media Realización de pruebas unitarias sobre el servicio de cálculo de impuestos,8
Backend Testing Media Realización de pruebas unitarias sobre el servicio de cálculo de envíos,7
Backend Desarrollo Alta Integración de un servicio de mapas para calcular distancias entre puntos,25
